productionCountries,areaHarvestedForApple,Stores
China,China,United States of America
United States of America,India,Japan
Turkey,Russia,United Kingdom
Poland,Poland,Canada
India,Turkey,Italy
Iran,United States of America,Australia
Italy,Iran,China
Chile,Uzbekistan,Switzerland
France,Ukraine,Germany
Russia,Pakistan,France
Brazil,,Spain
Ukraine,,Hong Kong
,,Netherlands
,,Sweden
,,Brazil
,,Turkey
,,Belgium
,,United Arab Emirates
,,Macau
,,Mexico
,,Singapore
,,Taiwan
,,South Korea
,,Austria
,,Thailand
